方剂名,类别,"组成
药物：炮制方法，计量；药物：炮制方法，计量；（若无炮制方法，则为空，逗号保留）"
白虎汤,清热剂,石膏：碎，50g；知母：，18g；甘草：炙，6g；粳米：，9g；
白虎加人参汤,清热剂,知母：，18g；石膏：碎&棉裹，50g；甘草：炙，6g；粳米：，9g；人参：，10g；
白虎加桂枝汤,清热剂,知母：，18g；甘草：炙，6g；石膏：，50g；粳米：，6g；桂枝：去皮，5g；
白虎加苍术汤,清热剂,知母：，18g；甘草：炙，6g；石膏：，50g；苍术：，9g；粳米：，9g；
竹叶石膏汤,清热剂,竹叶：，6g；石膏：，50g；半夏：洗，9g；麦门冬：去心，20g；人参：，6g；甘草：炙，6g；粳米：，10g；
清营汤,清热剂,犀角：，30g；生地黄：，15g；元参：，9g；竹叶心：，3g；麦冬：，9g；丹参：，6g；黄连：，5g；银花：，9g；连翘：连心用，6g；
犀角地黄汤,清热剂,犀角：，30g；生地黄：，15g；芍药：，12g；牡丹皮：，9g；
清瘟败毒饮,清热剂,"生石膏：，180g~240g（大剂），60~120g（中剂），24~36g（小剂）；小生地：，18~30g（大剂），9~15g（中剂）,6~12g（小剂）；乌犀角：，18~24g（大剂），10~15g（中剂），6~12g（小剂）；真川连：，18~24g（大剂），6~12g（中剂），3~4.5g（小剂）；生栀子：，6g；桔梗：，6g；黄芩：，6g；知母：，6g；赤芍：，6g；玄参：，6g；连翘：，6g；竹叶：，6g；甘草：，6g；丹皮：，6g；"
黄连解毒汤,清热剂,黄连：，9g；黄芩：，6g；黄柏：，6g；栀子：擘，9g；
泻心汤,清热剂,大黄：，6g；黄连：，3g；黄芩：，3g；
凉膈散,清热剂,川大黄：，12g；朴硝：，12g；甘草：炙，12g；山栀子（仁）：，6g；薄荷：去梗，6g；黄芩：，6g；连翘：，25g；
普济消毒饮（普济消毒饮子）,清热剂,黄芩：，15；黄连：，15g；人参：，9g；橘红：去白，3g；玄参：，3g；生甘草：，3g；连翘：，3g；鼠粘子：，3g；板蓝根：，3g；马勃：，3g；白僵蚕：炒，2g；升麻：，2g；柴胡：，6g；桔梗：，6g；
仙方活命饮,清热剂,白芷：，6g；贝母：，6g；防风：，6g；赤芍药：，6g；当归尾：，6g；甘草：，6g；皂角刺：炒，6g；穿山甲：炙，6g；天花粉：，6g；乳香：，6g；没药：，6g；金银花：，9g；陈皮：，9g；
五味消毒饮,清热剂,银花：，30g；野菊花：，12g；蒲公英：，12g；紫花地丁：，12g；紫背天葵子：，12g；
四妙勇安汤,清热剂,金银花：，90g；玄参：，90g；当归：，60g；甘草：，30g；
导赤散,清热剂,生地黄：末，3g；木通：末，3g；生甘草梢：末，3g；
清心莲子饮,清热剂,黄岑：，15g；麦冬：去心，15g；地骨皮：，15g；车前子：，15g；甘草：炙，15g；石莲肉：去心，22.5g；白茯苓：，22.5g；黄芪：蜜炙，22.5g；人参：，22.5g；上锉散：水煎，9g；
龙胆泻肝汤,清热剂,龙胆草：酒炒，6g；黄岑：炒，9g；栀子：酒炒，9g；泽泻：，12g；木桶：，6g；当归：酒炒，3g；生地黄：酒炒，9g；柴胡：，6g；生甘草：，6g；车前子：，9g；
泻青丸,清热剂,当归：去芦头切焙，3g；龙胆草：，3g；川芎：，3g；山栀子仁：，3g；川大黄：湿纸裹煨；羌活：，3g；防风：去芦头切焙，3g；
当归龙荟丸,清热剂,当归:焙，30g；龙胆草：，30g；栀子：，30g；黄连：，30g；黄柏：，30g；黄岑：，30g；芦荟：，15g；青黛：，15g；大黄：，15g；木香：，0.3g；麝香：，1.5g；
左金丸,清热剂,黄连：，18g；吴茱萸：，3g；
泻白散,清热剂,地骨皮：，30g；桑白皮：炒，30g；甘草：炙，3g；
葶苈大枣泻肺汤,清热剂,葶苈子：熬令色黄捣丸，9g；大枣：，4枚；
苇茎汤,清热剂,苇锉：，60g；薏苡仁：，30g；桃仁：去皮尖二仁者，9g；瓜瓣：，24g
清胃散,清热剂,生地黄：，6g；当归身：，6g；牡丹皮：，6g；黄连：，9g；升麻：，6g；
泻黄散,清热剂,藿香叶：，6g；山栀仁：，3g；石膏：，9g；甘草：，6g；防风：去芦切焙，9g；
玉女煎,清热剂,石膏：，9～15g；熟地：，9～30g；麦冬：，6g；知母：，5g；牛膝：，5g；
芍药汤,清热剂,芍药：，30g；当归：，15g；黄连：，15g；槟榔：，6g；木香：，6g；甘草：炒，6g；大黄：，9g；黄岑：，15g；官桂：，5g
香连丸,清热剂,黄连：去芦、须，15g；黄连：用茱萸，7g；木香：不见火，6g；
白头翁汤,清热剂,白头翁：，15g；黄柏：，9g；黄连：，9g；秦皮：，9g；
白头翁加甘草阿胶汤,清热剂,白头翁：，15g；黄柏：，9g；黄连：，9g；秦皮：，9g；甘草：，6g；阿胶：，6g；
驻车丸,清热剂,黄连：，18g；干姜：，6g；当归：，9g；阿胶：炙，9g；
青蒿鳖甲汤,清热剂,青蒿：，6g；鳖甲：，15g；细生地：，12g；知母：，6g；丹皮：，9g；
清骨散,清热剂,银柴胡：，5g；胡黄连：，3g；秦艽：，3g；鳖甲：酷炙，3g；地骨皮：，3g；青蒿：，3g；知母：，3g；甘草：，2g；
当归六黄汤,清热剂,当归：，6g；生地黄：，6g；黄芩：，6g；黄柏：，6g；黄连：，6g；熟地黄：，6g；黄芪：，12g；
