方剂名,类别,"组成
药物：炮制方法，计量；药物：炮制方法，计量；（若无炮制方法，则为空，逗号保留）"
清气化痰丸,祛痰剂,陈皮：去白，6g；杏仁：去皮尖，6g；枳实：麸炒，6g；黄芩：酒炒，6g；瓜蒌仁：去油，6g；茯苓：，6g；胆南星、制半夏：，9g；
小陷胸汤,祛痰剂,黄连：，6g；半夏：洗，12g；瓜蒌实：大者，20g；
柴胡陷胸汤,祛痰剂,柴胡：，3g；姜半夏：，9g；小川连：，2.5g；苦桔梗：，3g；黄芩：，4.5g；瓜蒌仁：杵，15g；小枳实：，4.5g；生姜汁：分冲，四滴；
滚痰丸,祛痰剂,大黄：酒蒸，24g；片黄芩：酒洗净，24g；礞石：捶碎&同焰硝一两&投入小砂罐内盖之&铁线缚定&盐泥固济&晒干&火煅红&候冷取出，3g；沉香：，2g；
贝母瓜蒌散,祛痰剂,贝母：，9g；瓜蒌：，6g；花粉、茯苓、橘红、桔梗：，5g；
苓甘五味姜辛汤,祛痰剂,茯苓：，12g；甘草：，9g；干姜：，9g；细辛：，5g；五味子：，5g；
冷啸丸,祛痰剂,麻黄：泡，3g；川乌：生，3g；白矾：生，3g；牙皂：去皮弦子&酢炙，3g；杏仁：去双仁者&连皮公用，3g；甘草：生，3g；细辛、蜀椒、陈胆星：，3g；紫菀茸、款冬花：，6g；
三子养亲汤,祛痰剂,白芥子：、紫苏子、莱菔子：，9g；
半夏白术天麻汤,祛痰剂,半夏：，9g；天麻、茯苓、橘红：，6g；白术：，18g；甘草：，3g；
半夏白术天麻汤,祛痰剂,黄柏：，1g；干姜：，1g；天麻、苍术、白茯苓、黄芪、泽泻、人参：，2.5g；白术、炒曲：，5g；半夏：汤洗七次，7.5g；大麦蘖、橘皮：，7.5g；
定痫丸,祛痰剂,明天麻、川贝母：，30g；半夏：姜汁炒，30g；茯苓：蒸，30g；茯神：去木&蒸，30g；胆南星：九制者，15g；石菖蒲：石杵碎&取粉，15g；全蝎：去尾&甘草水洗，15g；僵蚕：甘草水洗&去咀&炒，15g；真琥珀：腐煮&灯草研，15g；陈皮：洗&去白，20g；远志：去心&甘草水泡，20g；丹参：酒蒸，60g；麦冬：去心，60g；辰砂：细研&水飞，9g；
保和丸,消食剂,山楂：，18g；神曲：，6g；半夏、茯苓：，9g；陈皮、连翘、莱菔子：，3g；
大安丸,消食剂,山楂：，12g；神曲：炒，6g；半夏、茯苓：，6g；陈皮、萝卜子、连翘：，3g；白术：，12g；
枳实导泻丸,消食剂,大黄：，9g；枳实：麸炒&去瓤，9g；神曲：炒，9g；茯苓：去皮，6g；黄芩：去腐，6g；黄连：拣净，6g；白术：，6g；泽泻：，6g；
木香槟榔丸,消食剂,木香、槟榔、青皮、陈皮、莪术：，3g；莪术：烧，3g；黄连：麸炒，3g；黄柏、大黄：，6g；香附子：炒，10g；牵牛：，10g；
健脾丸,消食剂,白术：炒，15g；木香：另研，6g；黄连：酒炒，6g；甘草：，6g；白茯苓：去皮，10g；人参：，9g；神曲：炒，6g；麦芽：炒，6g；山楂：取肉，6g；肉豆蔻：面裹&纸包槌去油，6g；陈皮、砂仁、山药：，6g；
肥儿丸,消食剂,神曲：炒，9g；黄连：去须，9g；肉豆蔻：面裹煨，6g；使君子：去皮（壳），6g；麦芽：，6g；槟榔：细锉&晒，9g；木香：，3g；
乌梅丸,驱虫剂,乌梅：，30g；细辛：，3g；干姜：，9g；黄连：，9g；当归：，6g；附子：，6g；蜀椒：炒香，5g；桂枝：，6g；人参：，6g；黄柏：，6g；
连梅安蛔汤,驱虫剂,胡黄连：，3g；川椒：，2g；白雷丸：，9g；乌梅肉：，2g；尖槟榔：磨汁冲，9g；
理中安蛔汤,驱虫剂,人参：，2g；白术：，3g；茯苓：，3g；干姜：炒黑，1.5g；川椒：，3g；乌梅：，9g；
化虫丸,驱虫剂,胡粉：炒，15g；鹤虱：去土，15g；槟榔：，15g；苦楝根：去浮皮，15g；白矾：，3g；
瓜蒂散,涌吐剂,瓜蒂：，3g；赤小豆：，3g；
盐汤探吐方,涌吐剂,食盐：炒，30g；
救急稀涎散,涌吐剂,猪牙皂角：如猪牙&肥实不蛀者&削去黑皮，30g；白矾：通莹者，30g；
参芦饮,涌吐剂,人参芦：，15g；
